AccidentUID,AccidentType,AccidentType_de,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_de,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_de,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_de,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_de,AccidentWeekDay_en,AccidentHour,AccidentHour_text
99AE12B0EE4C3060E0430A865E333060,at5,Überqueren der Fahrbahn,Accident when crossing the lane(s),as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2664064","1213427",LU,"1024","2011","1",Januar,January,aw406,Samstag,Saturday,"15",15h-16h
99AE2B69DB4570E8E0430A865E3370E8,at0,Schleuder- oder Selbstunfall,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt430,Autobahn,Motorway,"2664689","1214585",LU,"1024","2011","1",Januar,January,aw406,Samstag,Saturday,"17",17h-18h
99AE12B1276A3060E0430A865E333060,at0,Schleuder- oder Selbstunfall,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt434,Nebenanlage,Motorway side installation,"2648518","1203382",LU,"1002","2011","1",Januar,January,aw407,Sonntag,Sunday,"10",10h-11h
9BFF56394E12A07EE0430A865E33A07E,at0,Schleuder- oder Selbstunfall,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2659288","1223590",LU,"1081","2011","1",Januar,January,aw407,Sonntag,Sunday,"14",14h-15h
99AE2B6A150A70E8E0430A865E3370E8,at2,Auffahrunfall,Accident with rear-end collision,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt430,Autobahn,Motorway,"2658938","1220177",LU,"1102","2011","1",Januar,January,aw403,Mittwoch,Wednesday,"07",07h-08h
99AE2B69DE2A70E8E0430A865E3370E8,at8,Fussgängerunfall,Accident involving pedestrian(s),as2,Unfall mit Schwerverletzten,Accident with severe injuries,true,false,false,rt432,Hauptstrasse,Principal road,"2664114","1209363",LU,"1059","2011","1",Januar,January,aw403,Mittwoch,Wednesday,"10",10h-11h
99AE7B253C7710B0E0430A865E3310B0,at2,Auffahrunfall,Accident with rear-end collision,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,true,rt432,Hauptstrasse,Principal road,"2663054","1216782",LU,"1040","2011","1",Januar,January,aw403,Mittwoch,Wednesday,"18",18h-19h
99BA5D381E00D02AE0430A865E33D02A,at3,Abbiegeunfall,Accident when turning left or right,as2,Unfall mit Schwerverletzten,Accident with severe injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2672365","1219779",LU,"1033","2011","1",Januar,January,aw404,Donnerstag,Thursday,"13",13h-14h
9AC554ACDDA38000E0430A865E338000,at0,Schleuder- oder Selbstunfall,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2651064","1226198",LU,"1099","2011","1",Januar,January,aw405,Freitag,Friday,"01",01h-02h
99BA5D383B96D02AE0430A865E33D02A,at8,Fussgängerunfall,Accident involving pedestrian(s),as2,Unfall mit Schwerverletzten,Accident with severe injuries,true,false,false,rt432,Hauptstrasse,Principal road,"2663985","1213215",LU,"1061","2011","1",Januar,January,aw405,Freitag,Friday,"07",07h-08h
9B25C4871C909022E0430A865E339022,at4,Einbiegeunfall,Accident when turning-into main road,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,true,rt433,Nebenstrasse,Minor road,"2666153","1211303",LU,"1061","2011","1",Januar,January,aw405,Freitag,Friday,"21",21h-22h
9AC554ACDEE08000E0430A865E338000,at2,Auffahrunfall,Accident with rear-end collision,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2657476","1228541",LU,"1081","2011","1",Januar,January,aw406,Samstag,Saturday,"13",13h-14h
99B6C7F328EFB044E0430A865E33B044,at0,Schleuder- oder Selbstunfall,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,Accident with severe injuries,false,false,false,rt430,Autobahn,Motorway,"2640595","1229894",LU,"1125","2011","1",Januar,January,aw406,Samstag,Saturday,"14",14h-15h
9B35EDAD193DE00AE0430A865E33E00A,at0,Schleuder- oder Selbstunfall,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2663343","1216047",LU,"1040","2011","1",Januar,January,aw407,Sonntag,Sunday,"15",15h-16h
99AE7B25679D10B0E0430A865E3310B0,at4,Einbiegeunfall,Accident when turning-into main road,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2643891","1222169",LU,"1128","2011","1",Januar,January,aw407,Sonntag,Sunday,"16",16h-17h
9B35EDAD1EF9E00AE0430A865E33E00A,at4,Einbiegeunfall,Accident when turning-into main road,as2,Unfall mit Schwerverletzten,Accident with severe injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2670272","1216486",LU,"1053","2011","1",Januar,January,aw401,Montag,Monday,"20",20h-21h
9B71AB601D948092E0430A865E338092,at5,Überqueren der Fahrbahn,Accident when crossing the lane(s),as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt433,Nebenstrasse,Minor road,"2666168","1211785",LU,"1061","2011","1",Januar,January,aw402,Dienstag,Tuesday,"14",14h-15h
9C985CF7710A60C0E0430A865E3360C0,at8,Fussgängerunfall,Accident involving pedestrian(s),as2,Unfall mit Schwerverletzten,Accident with severe injuries,true,false,false,rt432,Hauptstrasse,Principal road,"2663991","1213203",LU,"1061","2011","1",Januar,January,aw402,Dienstag,Tuesday,"17",17h-18h
9EA9548660AB3002E0430A865E333002,at2,Auffahrunfall,Accident with rear-end collision,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2666231","1210786",LU,"1061","2011","1",Januar,January,aw402,Dienstag,Tuesday,"18",18h-19h
9B9A41B03039E0F6E0430A865E33E0F6,at2,Auffahrunfall,Accident with rear-end collision,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2663291","1214995",LU,"1024","2011","1",Januar,January,aw402,Dienstag,Tuesday,"19",19h-20h
9B2E8B25D5C29094E0430A865E339094,at3,Abbiegeunfall,Accident when turning left or right,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt434,Nebenanlage,Motorway side installation,"2666728","1210404",LU,"1061","2011","1",Januar,January,aw403,Mittwoch,Wednesday,"07",07h-08h
9AF22726C64630BEE0430A865E3330BE,at6,Frontalkollision,Accident with head-on collision,as2,Unfall mit Schwerverletzten,Accident with severe injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2660148","1215501",LU,"1024","2011","1",Januar,January,aw404,Donnerstag,Thursday,"06",06h-07h
9C87C10FB73A905EE0430A865E33905E,at1,Überholunfall oder Fahrstreifenwechsel,Accident when overtaking or changing lanes,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,true,false,rt432,Hauptstrasse,Principal road,"2666220","1211811",LU,"1061","2011","1",Januar,January,aw404,Donnerstag,Thursday,"06",06h-07h
9B2EAC34C39000D8E0430A865E3300D8,at6,Frontalkollision,Accident with head-on collision,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2640467","1231660",LU,"1140","2011","1",Januar,January,aw404,Donnerstag,Thursday,"16",16h-17h
9E30F39D35CA1058E0430A865E331058,at0,Schleuder- oder Selbstunfall,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt433,Nebenstrasse,Minor road,"2664599","1212960",LU,"1061","2011","1",Januar,January,aw405,Freitag,Friday,"08",08h-09h
9B6AD2E061F85096E0430A865E335096,at4,Einbiegeunfall,Accident when turning-into main road,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2663808","1213852",LU,"1024","2011","1",Januar,January,aw405,Freitag,Friday,"13",13h-14h
9D0246C9D251803AE0430A865E33803A,at0,Schleuder- oder Selbstunfall,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt433,Nebenstrasse,Minor road,"2634780","1222233",LU,"1129","2011","1",Januar,January,aw406,Samstag,Saturday,"17",17h-18h
9BC2EA43E0BFC068E0430A865E33C068,at1,Überholunfall oder Fahrstreifenwechsel,Accident when overtaking or changing lanes,as3,Unfall mit Leichtverletzten,Accident with light injuries,false,false,false,rt432,Hauptstrasse,Principal road,"2665533","1212617",LU,"1061","2011","1",Januar,January,aw407,Sonntag,Sunday,"05",05h-06h
